dataset,regressor,quantifier_recommended,hit
1043_ada_agnostic,Random Forests,SMM,1
1048_jEdit_4,Random Forests,SORD,1
1049_pc4,Random Forests,SORD,1
1050_pc3,Random Forests,SORD,1
1054_mc2,Random Forests,SMM,1
1056_mc1,Random Forests,MAX,1
1061_ar4,Random Forests,SMM,0
1065_kc3,Random Forests,MAX,0
1066_kc1-binary,Random Forests,MS,1
1068_pc1,Random Forests,SORD,1
1069_pc2,Random Forests,SMM,0
1071_mw1,Random Forests,SORD,0
1073_jEdit_4,Random Forests,DyS,1
1075_datatrieve,Random Forests,SORD,0
1115_teachingAssistant,Random Forests,SMM,0
1121_badges2,Random Forests,MAX,0
1167_pc1_req,Random Forests,MAX,1
11_balance-scale,Random Forests,CC,1
12_mfeat-factors,Random Forests,X,1
1456_appendicitis,Random Forests,SORD,0
1460_banana,Random Forests,SORD,0
1462_banknote-authentication,Random Forests,MAX,1
1464_blood-transfusion-service-center,Random Forests,SORD,1
1465_breast-tissue,Random Forests,MS,0
1466_cardiotocography,Random Forests,ACC,0
1467_climate-model-simulation-crashes,Random Forests,MAX,0
1473_fertility,Random Forests,PACC,1
1475_first-order-theorem-proving,Random Forests,SMM,1
1479_hill-valley,Random Forests,SMM,1
1484_lsvt,Random Forests,MAX,0
1485_madelon,Random Forests,DyS,1
1487_ozone-level-8hr,Random Forests,SORD,1
1488_parkinsons,Random Forests,X,0
1489_phoneme,Random Forests,SORD,1
1490_planning-relax,Random Forests,DyS,1
1494_qsar-biodeg,Random Forests,DyS,1
1495_qualitative-bankruptcy,Random Forests,ACC,1
1496_ringnorm,Random Forests,SORD,1
1497_wall-robot-navigation,Random Forests,SORD,1
1498_sa-heart,Random Forests,MS,1
14_mfeat-fourier,Random Forests,SORD,0
1501_semeion,Random Forests,CC,1
1504_steel-plates-fault,Random Forests,SORD,0
1506_thoracic-surgery,Random Forests,SMM,1
1507_twonorm,Random Forests,ACC,1
1508_user-knowledge,Random Forests,SMM,0
1510_wdbc,Random Forests,SMM,1
1511_wholesale-customers,Random Forests,SMM,1
1512_heart-long-beach,Random Forests,DyS,1
1519_robot-failures-lp4,Random Forests,SORD,1
1520_robot-failures-lp5,Random Forests,MS,1
1523_vertebra-column,Random Forests,DyS,1
1526_wall-robot-navigation,Random Forests,SORD,1
1527_volcanoes-a1,Random Forests,SORD,1
1528_volcanoes-a2,Random Forests,SORD,1
1529_volcanoes-a3,Random Forests,SORD,1
1530_volcanoes-a4,Random Forests,SORD,1
1535_volcanoes-b5,Random Forests,SORD,0
1538_volcanoes-d1,Random Forests,SORD,1
1539_volcanoes-d2,Random Forests,SORD,1
1540_volcanoes-d3,Random Forests,SORD,1
1541_volcanoes-d4,Random Forests,SORD,1
1547_autoUniv-au1-1000,Random Forests,SORD,1
1559_breast-tissue,Random Forests,SORD,1
1565_heart-h,Random Forests,SORD,1
1566_hill-valley,Random Forests,SORD,1
1570_wilt,Random Forests,SORD,1
1600_SPECTF,Random Forests,SMM,1
16_mfeat-karhunen,Random Forests,SMM,1
182_satimage,Random Forests,X,0
187_wine,Random Forests,MS,1
18_mfeat-morphological,Random Forests,MAX,1
20_mfeat-pixel,Random Forests,MAX,1
22_mfeat-zernike,Random Forests,SORD,1
23_cmc,Random Forests,SORD,1
28_optdigits,Random Forests,SMM,1
292_Australian,Random Forests,DyS,1
294_satellite_image,Random Forests,MS,1
30_page-blocks,Random Forests,MAX,1
311_oil_spill,Random Forests,MS,0
312_scene,Random Forests,MAX,1
316_yeast_ml8,Random Forests,MAX,0
329_hayes-roth,Random Forests,SMM,0
333_monks-problems-1,Random Forests,SORD,1
334_monks-problems-2,Random Forests,SMM,0
335_monks-problems-3,Random Forests,CC,1
336_SPECT,Random Forests,SMM,1
36_segment,Random Forests,MAX,0
375_JapaneseVowels,Random Forests,DyS,1
377_synthetic_control,Random Forests,MAX,0
37_diabetes,Random Forests,SORD,1
40474_thyroid-allbp,Random Forests,SORD,1
40475_thyroid-allhyper,Random Forests,DyS,1
40496_LED-display-domain-7digit,Random Forests,MS,1
40733_yeast,Random Forests,SORD,1
40877_seeds,Random Forests,SORD,0
40_sonar,Random Forests,DyS,1
43_haberman,Random Forests,SORD,1
44_spambase,Random Forests,SORD,1
450_analcatdata_lawsuit,Random Forests,MAX,0
4538_GesturePhaseSegmentationProcessed,Random Forests,SORD,1
458_analcatdata_authorship,Random Forests,SORD,1
461_analcatdata_creditscore,Random Forests,SMM,0
463_backache,Random Forests,MAX,1
464_prnn_synth,Random Forests,SORD,1
48_tae,Random Forests,DyS,1
53_heart-statlog,Random Forests,DyS,0
54_vehicle,Random Forests,SMM,0
59_ionosphere,Random Forests,MS,1
60_waveform-5000,Random Forests,MS,1
61_iris,Random Forests,SORD,1
679_rmftsa_sleepdata,Random Forests,SORD,1
694_diggle_table_a2,Random Forests,SMM,0
AedesQuinx,Random Forests,SMM,1
AedesSex,Random Forests,MS,1
anuranCalls,Random Forests,SORD,1
ArabicDigit,Random Forests,SMM,1
BNG,Random Forests,MS,1
click-prediction,Random Forests,SORD,1
cmc,Random Forests,SORD,1
covtype_reduced,Random Forests,DyS,1
default_credit_card_clients,Random Forests,SORD,1
eeg,Random Forests,SORD,1
HTRU,Random Forests,SMM,1
jm1-processed,Random Forests,SORD,1
letter-recognition,Random Forests,SORD,1
magic,Random Forests,DyS,1
